,movie,year,imdb,metascore,votes,genre
0,Gladiator,(2000),8.5,67.0,1175356,"Action, Adventure, Drama"
1,Memento,(2000),8.5,80.0,1006391,"Mystery, Thriller"
2,Snatch,(2000),8.3,,701921,"Comedy, Crime"
3,Requiem for a Dream,(2000),8.3,68.0,682440,Drama
4,X-Men,(2000),7.4,64.0,522371,"Action, Adventure, Sci-Fi"
5,Cast Away,(2000),7.8,73.0,460785,"Adventure, Drama, Romance"
6,American Psycho,(2000),7.6,64.0,419018,"Crime, Drama"
7,Unbreakable,(2000),7.3,62.0,311700,"Drama, Mystery, Sci-Fi"
8,Meet the Parents,(2000),7.0,73.0,288469,"Comedy, Romance"
9,Mission: Impossible II,(2000),6.1,,283764,"Action, Adventure, Thriller"
10,"O Brother, Where Art Thou?",(2000),7.8,69.0,258657,"Adventure, Comedy, Crime"
11,Gone in Sixty Seconds,(2000),6.5,,241601,"Action, Crime, Thriller"
12,"Crouching Tiger, Hidden Dragon",(2000),7.9,93.0,236512,"Action, Adventure, Fantasy"
13,The Patriot,(2000),7.2,63.0,232739,"Action, Drama, History"
14,Almost Famous,(2000),7.9,90.0,231192,"Adventure, Comedy, Drama"
15,Pitch Black,(2000),7.1,,211305,"Horror, Sci-Fi"
16,Scary Movie,(2000),6.2,,210747,Comedy
17,"Me, Myself & Irene",(2000),6.6,,206275,Comedy
18,Final Destination,(2000),6.7,,206056,"Horror, Thriller"
19,The Beach,(I) (2000),6.6,,203587,"Adventure, Drama, Romance"
20,Amores Perros,(2000),8.1,83.0,203126,"Drama, Thriller"
21,Traffic,(2000),7.6,86.0,183920,"Crime, Drama, Thriller"
22,Remember the Titans,(2000),7.8,,180871,"Biography, Drama, Sport"
23,How the Grinch Stole Christmas,(2000),6.1,,177647,"Comedy, Family, Fantasy"
24,What Women Want,(2000),6.4,,177106,"Comedy, Fantasy, Romance"
25,Chocolat,(2000),7.3,64.0,165855,"Drama, Romance"
26,Miss Congeniality,(2000),6.2,,163693,"Action, Comedy, Crime"
27,Charlie's Angels,(2000),5.5,,160257,"Action, Adventure, Comedy"
28,Chicken Run,(2000),7.0,88.0,160092,"Animation, Adventure, Comedy"
29,Battle Royale,(2000),7.7,81.0,156731,"Adventure, Drama, Sci-Fi"
30,High Fidelity,(2000),7.5,79.0,156372,"Comedy, Drama, Music"
31,The Emperor's New Groove,(2000),7.3,70.0,155184,"Animation, Adventure, Comedy"
32,Erin Brockovich,(2000),7.3,73.0,154769,"Biography, Drama"
33,Road Trip,(2000),6.5,,146285,"Adventure, Comedy"
34,The Perfect Storm,(2000),6.4,,144831,"Action, Adventure, Drama"
35,"Dude, Where's My Car?",(2000),5.5,,127002,"Comedy, Mystery, Sci-Fi"
36,Hollow Man,(2000),5.7,,113000,"Action, Horror, Sci-Fi"
37,Scream 3,(2000),5.6,,112047,"Horror, Mystery"
38,Billy Elliot,(2000),7.7,74.0,111689,"Drama, Music, Romance"
39,Shanghai Noon,(2000),6.6,77.0,109565,"Action, Adventure, Comedy"
40,The 6th Day,(2000),5.9,,108924,"Action, Mystery, Sci-Fi"
41,What Lies Beneath,(2000),6.6,,108509,"Drama, Fantasy, Horror"
42,Malcolm in the Middle,(2000–2006),8.0,,106923,"Comedy, Family"
43,Pay It Forward,(2000),7.2,,105855,Drama
44,In the Mood for Love,(2000),8.1,85.0,101749,"Drama, Romance"
45,The Whole Nine Yards,(2000),6.7,,100674,"Comedy, Crime"
46,Coyote Ugly,(2000),5.7,,99354,"Comedy, Drama, Music"
47,Men of Honor,(2000),7.2,,99328,"Biography, Drama"
48,The Family Man,(2000),6.7,,95711,"Comedy, Drama, Fantasy"
49,Frequency,(2000),7.4,67.0,92862,"Crime, Drama, Mystery"
50,Gladiator,(2000),8.5,67.0,1175356,"Action, Adventure, Drama"
51,Memento,(2000),8.5,80.0,1006391,"Mystery, Thriller"
52,Snatch,(2000),8.3,,701921,"Comedy, Crime"
53,Requiem for a Dream,(2000),8.3,68.0,682440,Drama
54,X-Men,(2000),7.4,64.0,522371,"Action, Adventure, Sci-Fi"
55,Cast Away,(2000),7.8,73.0,460785,"Adventure, Drama, Romance"
56,American Psycho,(2000),7.6,64.0,419018,"Crime, Drama"
57,Unbreakable,(2000),7.3,62.0,311700,"Drama, Mystery, Sci-Fi"
58,Meet the Parents,(2000),7.0,73.0,288469,"Comedy, Romance"
59,Mission: Impossible II,(2000),6.1,,283764,"Action, Adventure, Thriller"
60,"O Brother, Where Art Thou?",(2000),7.8,69.0,258657,"Adventure, Comedy, Crime"
61,Gone in Sixty Seconds,(2000),6.5,,241601,"Action, Crime, Thriller"
62,"Crouching Tiger, Hidden Dragon",(2000),7.9,93.0,236512,"Action, Adventure, Fantasy"
63,The Patriot,(2000),7.2,63.0,232739,"Action, Drama, History"
64,Almost Famous,(2000),7.9,90.0,231192,"Adventure, Comedy, Drama"
65,Pitch Black,(2000),7.1,,211305,"Horror, Sci-Fi"
66,Scary Movie,(2000),6.2,,210747,Comedy
67,"Me, Myself & Irene",(2000),6.6,,206275,Comedy
68,Final Destination,(2000),6.7,,206056,"Horror, Thriller"
69,The Beach,(I) (2000),6.6,,203587,"Adventure, Drama, Romance"
70,Amores Perros,(2000),8.1,83.0,203126,"Drama, Thriller"
71,Traffic,(2000),7.6,86.0,183920,"Crime, Drama, Thriller"
72,Remember the Titans,(2000),7.8,,180871,"Biography, Drama, Sport"
73,How the Grinch Stole Christmas,(2000),6.1,,177647,"Comedy, Family, Fantasy"
74,What Women Want,(2000),6.4,,177106,"Comedy, Fantasy, Romance"
75,Chocolat,(2000),7.3,64.0,165855,"Drama, Romance"
76,Miss Congeniality,(2000),6.2,,163693,"Action, Comedy, Crime"
77,Charlie's Angels,(2000),5.5,,160257,"Action, Adventure, Comedy"
78,Chicken Run,(2000),7.0,88.0,160092,"Animation, Adventure, Comedy"
79,Battle Royale,(2000),7.7,81.0,156731,"Adventure, Drama, Sci-Fi"
80,High Fidelity,(2000),7.5,79.0,156372,"Comedy, Drama, Music"
81,The Emperor's New Groove,(2000),7.3,70.0,155184,"Animation, Adventure, Comedy"
82,Erin Brockovich,(2000),7.3,73.0,154769,"Biography, Drama"
83,Road Trip,(2000),6.5,,146285,"Adventure, Comedy"
84,The Perfect Storm,(2000),6.4,,144831,"Action, Adventure, Drama"
85,"Dude, Where's My Car?",(2000),5.5,,127002,"Comedy, Mystery, Sci-Fi"
86,Hollow Man,(2000),5.7,,113000,"Action, Horror, Sci-Fi"
87,Scream 3,(2000),5.6,,112047,"Horror, Mystery"
88,Billy Elliot,(2000),7.7,74.0,111689,"Drama, Music, Romance"
89,Shanghai Noon,(2000),6.6,77.0,109565,"Action, Adventure, Comedy"
90,The 6th Day,(2000),5.9,,108924,"Action, Mystery, Sci-Fi"
91,What Lies Beneath,(2000),6.6,,108509,"Drama, Fantasy, Horror"
92,Malcolm in the Middle,(2000–2006),8.0,,106923,"Comedy, Family"
93,Pay It Forward,(2000),7.2,,105855,Drama
94,In the Mood for Love,(2000),8.1,85.0,101749,"Drama, Romance"
95,The Whole Nine Yards,(2000),6.7,,100674,"Comedy, Crime"
96,Coyote Ugly,(2000),5.7,,99354,"Comedy, Drama, Music"
97,Men of Honor,(2000),7.2,,99328,"Biography, Drama"
98,The Family Man,(2000),6.7,,95711,"Comedy, Drama, Fantasy"
99,Frequency,(2000),7.4,67.0,92862,"Crime, Drama, Mystery"
100,Gladiator,(2000),8.5,67.0,1175356,"Action, Adventure, Drama"
101,Memento,(2000),8.5,80.0,1006391,"Mystery, Thriller"
102,Snatch,(2000),8.3,,701921,"Comedy, Crime"
103,Requiem for a Dream,(2000),8.3,68.0,682440,Drama
104,X-Men,(2000),7.4,64.0,522371,"Action, Adventure, Sci-Fi"
105,Cast Away,(2000),7.8,73.0,460785,"Adventure, Drama, Romance"
106,American Psycho,(2000),7.6,64.0,419018,"Crime, Drama"
